AIR FORCE SCHOOL," AIR FORCE STATION P O SATWARI JAMMU CANTT JAMMU JAMMU & KASHMIR ,180003",6344626929," arschool@nde.vsnl.net.in
",DR B R GUPTA, www.afsjammu.com
ARMY PUBLIC SCHOOL," OPP WAR MEMORIAL HALL SATWARI NEAR PEER BABA JAMMU CANTT JAMMU & KASHMIR ,180003",634446245," asjammucantt@rediffmail.com
",MRS ARCHANA KAKAR,
ARMY PUBLIC SCHOOL," NAGROTA - JAMMUR JAMMU & KASHMIR ,181221",1912673643," apsnagrota@gmail.com
 ",MRS. RUCHI BAHL,www.apsnagrota.in
ARMY PUBLIC SCHOOL," KALUCHAK P O GANGYAL JAMMU JAMMU & KASHMIR ,180010",1912482443," apskaluchak@gmail.com
 ",MRS. HEM LATA VISHEN,www.apskaluchak.com
ARMY PUBLIC SCHOOL," AKHNOOR JAMMU & KASHMIR ,180010",1924253224," asakhnoor1@rediffmail.com
",MR K C S MEHTA,
ARMY PUBLIC SCHOOL," DAMANA (MUTHI) JAMMU J & K ,181205",1923242383," armyschooldamana1@rediffmail.com
",DR RENU GUPTA,http://www.pcsjammu.org
ARMY PUBLIC SCHOOL," MARALIA MIRAN SAHIB JAMMU & KASHMIR ,181101",1913154," saagrika@nde.vsnl.net.in
 ",JASBIR KAUR,
ARMY PUBLIC SCHOOL," B D BARI TEHSIL SAMBA DISTT JAMMU JAMMU & KASHMIR ,181133",19232112," apsbdbari@gmail.com
 ",Mr. NEETA RAWAL,www.apsbdbari.org
ARMY PUBLIC SCHOOL," SAINIK COLONY RATNUCHAK P.O. JAMMU JAMMU & KASHMIR ,180011",8257271533," jgps_bellare@rediffmail.com
",MRS. VIJAY PURI,
ARMY PUBLIC SCHOOL," RAKHMUTHI JAMMU JAMMU & KASHMIR ,181202",191242863," rrlj@nde.vsnl.net.in
 ",MRS SATNAM KAUR,
ARMY PUBLIC SCHOOL," SAMBA DISTT JAMMU JAMMU KASHMIR ,184121",1923243102," apssamba@gmail.com
 ",MR. ARJUN SINGH,http://www.apssamba.co.in
"ARMY PUBLIC SCHOOL, SUNJUWAN, JAMMU"," C/O 36 INFANTRY BRIGADE (PIN-908036) C/O 56 APO ,180010",191246388," col.ds.jasrotia@gmail.com
",BEENU SETH,
B S F SR SEC SCHOOL," PALAURA CAMP JAMMU JAMMU & KASHMIR ,181124",1912543894,"
",DR. S.S. KHOKHAR,
BANYAN INTERNATIONAL SCHOOL," JEEVAN NAGAR ROAD,BABLIANA,P.O:-GADIGARH,JAMMU(J&K) ,181101",9086093551," principal@banyaninternationalschool.edu.in
",RAMESH T R,
BHARGAVA PUBLIC SCHOOL," BADHERI, SUPWAL ,184121",1923219445," vivekarora1122@gmail.com
 ",VIVEK ARORA,http://www.bhargavapublicschool.org
BHARTIYA VIDYA MANDIR," VED MANDIR AMBHALLA JAMMU ,180005",1912566474," rajmarhatta@gmail.com
",Rakesh Marhatta,
BIRLA OPEN MINDS INTERNATIONAL SCHOOL," NH-1A, CHANNI, DISTT. JAMMU, JAMMU & KASHMIR ,180011",1912464034," jpworldschool@gmail.com
 ",Jitinder Singh,http://www.jpworldschool.org
BRITISH INTERNATIONAL SCHOOL," SAINIK COLONY SECTOR D ,180011",1912468707," bisjmu123@gmail.com
 ",MRS.GITA SHARMA,http://www.bisjmu.com
CYBERNETICS SECONDARY SCHOOL," ARJUN VIHAR JUNJWANI JAMMU JAMMU & KASHMIR ,171001",1912480099," jhaschool_surat@yahoo.com
 ",SH B L KAUL,http://www.dpssurat.net
"DCM PUBLIC SCHOOL,"," GURHA BRAHMANA, AKHNOOR, JAMMU ,181201",1924254911," dcmpschoolakhnoor@gmail.com
 ",MRS.RAMA JAMWAL,http://www.dcmpublicschool.com
DELHI PUBLIC SCHOOL," MAHARAJA HARI SINGH MARG JAMMU JAMMU & KASHMIR ,180001",1912570480," ruchildin@gmail.com
",RUCHI CHABRA,
"DELHI PUBLIC SCHOOL NAGBANI, JAMMU - (WEST)"," ,181206",1912642873," dpsnagbani@gmail.com
 ",,http://www.dpsnagbani.com
"DEWAN BADRINATH VIDYA MANDIR, AMARVILLA"," 155, GARDEN AVENUE TALAB TILLO P.O.: VINYAK BAZAR ,180016",1912554200," principal.av@dbntrust.in
 ",PRAVEENA JHA,http://www.dbntrust.com
DOON INTERNATIONAL SCHOOL," CHOWADHI ,180011",1912104050," info@disjammu.com
 ",Mrs.VIKESH KAUR,http://www.disjammu.com
G. D. GOENKA PUBLIC SCHOOL," OPP. NAGBANI PANCHAYAT GHAR, GAJANSOO, MARH ROAD JAMMU ,181206",1912642900," principal@gdgoenkajammu.org
 ",Mr. Arindam Roy Choudhury,http://www.gdgoenkajammu.org
GALAXY PUBLIC SCHOOL," SEC: E (EXTN.), SAINIK COLONY, JAMMU ,180011",1912468452," schoolgalaxypublic@gmail.com
",Dr.C.M. Kohli,
HERITAGE SCHOOL," CHOWADI NAGA SECTOR D SAINIK COLONY JAMMU J & K ,180011",9086767666," jagachem@rediffmail.com
",JAGADISH SINGH DHAMI,
INTERNATIONAL DELHI PUBLIC SCHOOL," NEAR MATADOR STAND , SUNJWAN, JAMMU ,180011",9419197283," adm.idpsjmu@gmail.com
 ",MRS. RANDEEP WAZIR,http://www.idpsjammu.com
J K PUBLIC SCHOOL," KUNJWANI JAMMU JAMMU & KASHMIR ,180010",1912480070," jkpublicschool@gmail.com
",Vandana Sharma,
"J&K POLICE PUBLIC SCHOOL, MIRAN SAHIB, JAMMU"," MIRAN SAHIB, JAMMU JAMMU & KASHMIR , 181101 ,181101",1923264926," jkpps.jammu@nic.in
 ",MRS. RENUKA GULERIA,www.jkpolicepublicschool.com
JAMMU SANSKRITI SCHOOL," ISMAILPUR KOTHEY, NEAR SEHORA, JAMMU ,181132",7298508029," rohiniaimajmps@gmail.com
",ROHINI AIMA,
