GOVT. POLYTECHNIC LEH,"CHOGLAMSAR, NEAR SBI BANK",LEH,Government
PG DEPARTMENT OF COMPUTER SCIENCES,UNIVERSITY OF KASHMIR,SRINAGAR,Government
NITS POLYTECHNIC,"INDIRA NAGAR , P.O MIRAN SAHIB TEHSIL R.S PURA JAMMU",JAMMU,Private-Self Financing
GOVT.POLYTECHNIC KATHUA,"GOVT. POLYTECHNIC KATHUA,VILL. BADALA, NEAR IRP HEADQUARTERS, NAGRI ROAD, KATHUA.(J&K).",KATHUA,Government
"GOVT. POLYTECHNIC COLLEGE, BUDGAM","NAGAM, CHADORA, BUDGAM",BADGAM,Government
GOVERNMENT POLYTECHNIC SAMBA,"TEMPORARY ACCOMODATION GOVT. POLYTECHNIC SAMBA VILLAGE BARA,NEAR DEVIKA BRIDGE SAMBA",SAMBA,Government
GOVT. POLYTECHNIC COLLEGE REASI,"BEHIND GOVT. DEGREE COLLEGE, REASI, MARI, REASI.",REASI,Government
GOVT. POLYTECHNIC COLLEGE KULGAM,CHAMBGUND ROAD KULGAM. J&K,KULGAM,Government
GOVERNMENT POLYTECHNIC COLLEGE ANANTNAG,"LARKIPORA DOORU, ANANTNAG",ANANTNAG,Government
GOVERNMENT POLYTECHNIC KARGIL,"KURBATHAN, KARGIL, LADAKH",KARGIL,Government
MAHANT BACHITTAR SINGH COLLEGE OF ENGENEERING & TECHONOLOGY,JEVAN NAGAR BABLIANA,JAMMU,Private-Self Financing
KITE POYTECHNIC,"VAWOOSA, RANGRETH",BADGAM,Private-Self Financing
YOGANANDA COLLEGE OF ENGINEERING & TECHNOLOGY,"GURHA BRAHMANA (PATOLI), AKHNOOR ROAD, JAMMU (J&K)",JAMMU,Private-Self Financing
GOVERNMENT POLYTECHNIC COLLEGE BANDIPORA,"EIDGAH, NISHAT PARK, WARD NO. 6, BANDIPORA, KASHMIR",BANDIPORA,Government
DEPARTMENT OF PHARMACEUTICAL SCIENCES,"DEPARTMENT OF PHARMACEUTICAL SCIENCES UNIVERSITY OF KASHMIR, HAZRATBAL,SRINAGAR",SRINAGAR,Government
CENTRAL UNIVESITY OF JAMMU,RAHYA-SUCHANI (BAGLA),SAMBA,Central University
ROYAL POLYTECHNIC COLLEGE TRUST,55 GOGJIBAGH,SRINAGAR,Private-Self Financing
IQBAL INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"LALOO, SHESHGARIBAGH, HYDERPORA, SRINAGAR",SRINAGAR,Private-Self Financing
ACHARYA SRI CHANDER TECHNICAL INSTITUTE,GHOU MANHASAN,JAMMU,Private-Self Financing
GOVERNMENT POLYTECHNIC COLLEGE POONCH,ITI HOSTEL NEAR POWER HOUSE HAVELI POONCH,POONCH,Government
GOVERNMENT POLYTECHNIC COLLEGE PULWAMA,"ONE UNIVERSITY CAMPUS ,IUST AWANTIPORA",PULWAMA,Government
"COLLEGE OF ENGINEERING & TECHNOLOGY, BGSB UNIVERSITY, RAJOURI, J&K",COLLEGE OF ENGINEERING & TECHNOLOGY BABA GHULAM SHAH BADSHAH UNIVERSITY RAJOURI J&K,RAJAURI,State Government University
MASTERPRO INSTITUTE OF TECHNOLOGY,"NOWGAM BYPASS SRINAGAR JAMMU & KASHMIR, INDIA-190015",SRINAGAR,Private-Self Financing
ISLAMIC UNIVERSITY OF SCIENCE AND TECHNOLOGY,ONE UNIVERSITY AVENUE AWANTIPORA PULWAMA KASHMIR,PULWAMA,Govt aided
GOVT. POLYTECHNIC COLLEGE SHOPIAN,"ALIYAL PORA, SHOPIAN",SHOPIAN,Government
GOVERNMENT POLYTECHNIC COLLEGE KUPWARA,KUPWARA,KUPWARA,Government
INSTITUTE OF ENGINEERING & COMPUTER SCIENCES,"PURKHOO CAMP, DOMANA",JAMMU,Private-Self Financing
"GOVT. POLYTECHNIC, JAMMU","BIKRAM CHOWK, JAMMU",JAMMU,Government
GOVT.POLYTECHNIC COLLEGE GANDERBAL,"GOVT POLYTECHNIC COLLEGE,GANDERBAL,HATBARA, CHUNDINA, CHUNDINA ROAD, JAMMU AND KASHMIR 191131 NEAR JAWAHAR NAVODYA VIDHYALAYA GANDERBAL.",GANDERBAL,Government
INSTITUTE OF MANAGEMENT SCIENCES,"GURHA BRAHMANA (PATOLI), AKHNOOR ROAD, JAMMU (J&K)",JAMMU,Private-Self Financing
ISLAMIC UNIVERSITY OF SCIENCE AND TECHNOLOGY,ONE UNIVERSITY AVENUE,PULWAMA,State Government University
