KENDRIYA VIDYALAYA MIRAN SAHIB,AGIMON A CHELLAMCOTT,"K V MIRAN SAHIB, BSF CAMPUS, INDRESHWAR NAGAR, MIRAN SAHIB P. O., JAMMU, PIN- 181101, JAMMU & KASHMIR
email - kvmiransahib@gmail.com",ppl.miransahib@kvs.gov.in,1923263260
KENDRIYA VIDYALAYA JOURIAN,MANOJ KUMAR,"KV JOURIAN, VILLAGE POTHA JOURIAN, PIN 181202
email - kvjourian@gmail.com",ppl.jourian@kvs.gov.in,1924242985
KENDRIYA VIDYALAYA DHAMANA,BIMLA PANDITA,"KENDRIYA VIDYALAYA DAMANA (PURKHOO), P.O. DAMANA TEHSIL & DISTT.JAMMU, JAMMU AND KASHMIR - 181206
email - kvdamana@gmail.com",ppl.dhamana@kvs.gov.in,1912605970
KENDRIYA VIDYALAYA NO.I GANDHI NAGAR (JAMMU),AMIT WALTER,"KENDRIYA VIDYALAYA NO. 1, GOVT HOSPITAL ROAD, GOLE MARKET, GANDHI NAGAR, JAMMU 180004
email - kvno1jammu@gmail.com",ppl.jammuno1@kvs.gov.in,1912430137
KENDRIYA VIDYALAYA NO.I AKHNOOR,C R BHAGAT,"KENDRIYA VIDYALAYA NO.1 AKHNOOR NEAR CHENAB RIVER OLD BRIDGE AKHNOOR -181201
email - kv1akhnoor@gmail.com",ppl.akhnoorno1@kvs.gov.in,1924252810
KENDRIYA VIDYALAYA (CRPF) BANTALAB,SURAJ PRASAD,"PRINCIPAL, KENDRIYA VIDYALAYA, (GC) CRPF, BANTALAB, JAMMU-181123 (J&K)
email - kvbantalab@gmail.com",ppl.bantalabcrpf@kvs.gov.in,1912592007
KENDRIYA VIDYALAYA JINDRAH,MR GURMUKH SINGH,"K V JINDRAH VILLAGE KANYALA BLOCK DHANSAL DIST JAMMU JK 181224
email - kvjindrah@gmail.com",ppl.jindrah@kvs.gov.in,1912661416
KENDRIYA VIDYALAYA CENTRAL UNIVERISTY OF JAMMU,LEELA DHARI,"KV CENTRAL UNIVERSITY OF JAMMU RAHYA SUCHANI DISTT. SAMBA PINCODE-181143
email - kendriyavidyalayacuj@gmail.com",ppl.rahyasuchani@kvs.gov.in,1923249500
KENDRIYA VIDYALAYA KALUCHAK,RAKESH DUBEY,"KENDRIYA VIDYALAYA SUNJUWAN POST OFFICE SAINIK COLONY JAMMU (J&K) PIN 180011
email - kvsunjwan@gmail.com",ppl.kaluchak@kvs.gov.in,1912462357
KENDRIYA VIDYALAYA NAGROTA,DIDAR SINGH,"NEAR USMAN DWAR, P.O. KANDOLI, NAGROTA, JAMMU-181221
email - nagrotakv@gmail.com",ppl.nagrota@kvs.gov.in,1912673837
KENDRIYA VIDYALAYA BSF SUNDERBANI,RAM KUMAR SRIVASTAVA,"KENDRIYA VIDYALAYA SUNDERBANI BSF CAMPUS - 185153
email - kvsunderbani@gmail.com",ppl.sunderbanibsf@kvs.gov.in,1960233268
KENDRIYA VIDYALAYA NO.II AKHNOOR,DR GURDEEP SINGH,"K V NO2 AKHNOOR TANKI NO.4 TANDA COMPLEX AKHNOOR 181201
email - principalkv2akhnoor@gmail.com",ppl.akhnoorno2@kvs.gov.in,1924252052
KENDRIYA VIDYALAYA NO.II JAMMU CANTT,BHUSHAN KUMAR,"KENDRIYA VIDYALAYA NO 2 JAMMU CANTT 180003
email - principalkv2jammucantt",ppl.jammuno2@kvs.gov.in,1912432436
